Ralph Vaughan Williams,1872-10-12T00:00:00Z,1958-08-26T00:00:00Z,None,Job ,Tue Mar 29 19:48:13 +0000 2022
Ralph Vaughan Williams,1872-10-12T00:00:00Z,1958-08-26T00:00:00Z,None,Ten Blake Songs ,Tue Mar 29 19:26:04 +0000 2022
Ralph Vaughan Williams,1872-10-12T00:00:00Z,1958-08-26T00:00:00Z,None,Symphony No 4 ,Tue Mar 29 18:49:54 +0000 2022
Ralph Vaughan Williams,1872-10-12T00:00:00Z,1958-08-26T00:00:00Z,None,Toward the Unknown Region ,Tue Mar 29 18:33:51 +0000 2022
Charles-Marie Widor,1845-02-24T00:00:00Z,1937-03-12T00:00:00Z,western classical music,Toccata (Symphony No.5 in F minor) ,Tue Mar 29 18:24:57 +0000 2022
Bob Chilcott,1955-04-09T00:00:00Z,None,None,Sun,Tue Mar 29 18:21:26 +0000 2022
John Barry,1933-11-03T00:00:00Z,2011-01-30T00:00:00Z,None,Girl with the Sun in ... ,Tue Mar 29 18:18:49 +0000 2022
Sergei Rachmaninoff,1873-04-01T00:00:00Z,1943-03-28T00:00:00Z,Romantic music,Piano Concerto No 4 i... ,Tue Mar 29 18:12:22 +0000 2022
Frederick Loewe,1901-06-10T00:00:00Z,1988-02-14T00:00:00Z,None,I Could Have Danced All Night ,Tue Mar 29 18:08:24 +0000 2022
Antony Hopkins,1921-03-21T00:00:00Z,2014-05-06T00:00:00Z,None,The Plaza ,Tue Mar 29 18:06:17 +0000 2022
Lili Boulanger,1893-08-21T00:00:00Z,1918-03-15T00:00:00Z,impressionism in music,Psalm 129 ,Tue Mar 29 18:00:20 +0000 2022
York Bowen,1884-02-22T00:00:00Z,1961-11-23T00:00:00Z,None,Sonata for Horn &amp; Piano op.101: I. Mode... ,Tue Mar 29 17:54:05 +0000 2022
Johann Sebastian Bach,1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,Baroque music,St. Matthew Passion,Tue Mar 29 17:48:31 +0000 2022
