fecha,formato,grupo,nombre,participantes,tipo
2022-05-04T16:30:00.000Z,Concierto Extraordinario,,"Sextetos y retratos, Brunetti y Goya","Luigi Boccherini, Gaetano Brunetti",Concierto
2022-05-03T10:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [12:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-05-03T08:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [10:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-04-30T10:00:00.000Z,Conciertos del Sábado,Variaciones (I): del cantus firmus a los vieneses,Las Goldberg,Johann Sebastian Bach,Concierto
2022-04-27T16:30:00.000Z,Aula de (Re)estrenos,,Aula de (Re)estrenos (118). Proyecto Conrado: integral de los cuartetos (II),Conrado del Campo,Concierto
2022-04-25T10:00:00.000Z,Jóvenes intérpretes,,Cuarteto Jubilee,"Joseph Haydn, Franz Schubert",Concierto
2022-04-24T10:00:00.000Z,Jóvenes intérpretes,,Cuarteto Jubilee,"Joseph Haydn, Franz Schubert",Concierto
2022-04-23T10:00:00.000Z,Melodramas,,La canción de amor y muerte del alférez Christoph Rilke,Viktor Ullmann,Concierto
2022-04-22T16:30:00.000Z,Melodramas,,La canción de amor y muerte del alférez Christoph Rilke,Viktor Ullmann,Concierto
2022-04-20T16:30:00.000Z,Melodramas,,La canción de amor y muerte del alférez Christoph Rilke,Viktor Ullmann,Concierto
2022-04-10T09:30:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1781-1783. El triunfo del contrapunto","Johann Sebastian Bach, Wolfgang Amadeus Mozart",Concierto
2022-04-09T16:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1781-1783. El triunfo del contrapunto","Johann Sebastian Bach, Wolfgang Amadeus Mozart",Concierto
2022-04-09T10:00:00.000Z,Conciertos del Sábado,Stravinsky en danza,Stravinsky transformado,"Tomás Marco, Igor Stravinsky",Concierto
2022-04-06T16:30:00.000Z,Aula de (Re)estrenos,,Aula de (Re)estrenos (117). Compositores Sub-35 (X),"Carolina Cerezo, Helena Cánovas i Parés, Miguel Matamoro, Fabiá Santcovsky, Nasim Khorassani, Alberto García Aznar, Carlos Brito Dias",Concierto
2022-04-05T10:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [12:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-04-05T08:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [10:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-04-04T10:00:00.000Z,Jóvenes intérpretes,,Cuarteto Albéniz de Prosegur,"Felix Mendelssohn-Bartholdy, Franz Schubert",Concierto
2022-04-03T10:00:00.000Z,Jóvenes intérpretes,,Cuarteto Albéniz de Prosegur,"Felix Mendelssohn-Bartholdy, Franz Schubert",Concierto
2022-04-02T16:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1786-1788. Tríos con piano",Wolfgang Amadeus Mozart,Concierto
2022-04-02T10:00:00.000Z,Conciertos del Sábado,Stravinsky en danza,Ballets al violín,"Francis Poulenc, Igor Stravinsky",Concierto
2022-04-01T16:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1786-1788. Tríos con piano",Wolfgang Amadeus Mozart,Concierto
2022-03-30T16:30:00.000Z,Ciclos de Miércoles,Verdi: no solo ópera,Operistas en la cámara,"Gian Francesco Malipiero, Giacomo Puccini, Ottorino Respighi, Giuseppe Verdi, Hugo Wolf",Concierto
2022-03-29T10:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [12:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-03-29T08:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [10:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-03-28T10:00:00.000Z,Jóvenes intérpretes,,Aula de Percusión del Real Conservatorio Superior de Música de Madrid,"Johann Sebastian Bach, Thierry de Mey, Alexandre Esperet, Tomer Yariv, Alyssa Weinberg, Andy Akiho, Ivan Treviño",Concierto
2022-03-27T10:00:00.000Z,Jóvenes intérpretes,,Aula de Percusión del Real Conservatorio Superior de Música de Madrid,"Johann Sebastian Bach, Thierry de Mey, Alexandre Esperet, Tomer Yariv, Alyssa Weinberg, Andy Akiho, Ivan Treviño",Concierto
2022-03-26T11:00:00.000Z,Conciertos del Sábado,Stravinsky en danza,Bailar para Diaghilev,Igor Stravinsky,Concierto
2022-03-23T17:30:00.000Z,Ciclos de Miércoles,Verdi: no solo ópera,Drama sin palabras,"Franz Liszt, Nicolás Ruiz Espadero, Teresa Carreño",Concierto
2022-03-22T11:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [12:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-03-22T09:30:00.000Z,Conciertos didácticos,Curso 2021-2022,"Ruido, pulso, ritmo: el mundo de la percusión [10:30]","Philip Glass, Minuro Miki, Eckhard Kopetzki, Steve Snowden, Mátyás Wettl, Alexandre Esperet, Tomer Yariv, Kaija Saariaho",Concierto
2022-03-21T11:00:00.000Z,Jóvenes intérpretes,,Javier López Escalona,"Germán Álvarez Beigbeder, Manuel Castillo, Manuel de Falla, Joaquín Turina, Pascual Ramayón Barrett, Gerónimo Jiménez",Concierto
2022-03-20T11:00:00.000Z,Jóvenes intérpretes,,Javier López Escalona,"Germán Álvarez Beigbeder, Manuel Castillo, Manuel de Falla, Joaquín Turina, Pascual Ramayón Barrett, Gerónimo Jiménez",Concierto
2022-03-19T17:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Par&iacute;s, 1778. Mozart desolado",Wolfgang Amadeus Mozart,Concierto
2022-03-19T11:00:00.000Z,Conciertos del Sábado,El clave barroco italiano,Maestros napolitanos,"Giovanni de Macque, Ascanio Mayone, Alessandro Scarlatti, Giovanni Maria Trabaci, Gregorio Strozzi, Giovanni Salvatore",Concierto
2022-03-18T17:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"París, 1778. Mozart desolado",Wolfgang Amadeus Mozart,Concierto
2022-03-16T17:30:00.000Z,Ciclos de Miércoles,Verdi: no solo ópera,Cantos sacros,"Ildebrando Pizzetti, Giacomo Puccini, Giuseppe Verdi",Concierto
2022-03-14T11:00:00.000Z,Jóvenes intérpretes,,Adriana Viñuela,"María Rodrigo, María Teresa Prieto",Concierto
2022-03-13T11:00:00.000Z,Jóvenes intérpretes,,Adriana Viñuela,"María Rodrigo, María Teresa Prieto",Concierto
2022-03-12T11:00:00.000Z,Conciertos del Sábado,El clave barroco italiano,"Venecia, la Serenísima","Anónimo, Andrea Gabrieli, Giovanni Gabrieli, Baldassare Galuppi, Antonio Vivaldi, Giovanni Picchi, Claudio Merulo",Concierto
2022-03-09T17:30:00.000Z,Ciclos de Miércoles,La obra maestra desconocida,,"Ludwig van Beethoven, Aleksandr Borodin, Benjamin Britten, Claude Debussy, Gabriel Fauré, Scott Joplin, Aram Khachaturian, Sergey Prokofiev, Pablo Sarasate, Dmitrii? Shostakovich, Joaquín Turina",Concierto
2022-03-08T11:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [12:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-03-08T09:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [10:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-03-07T11:00:00.000Z,Jóvenes intérpretes,,La Vaghezza,"Pier Francesco Cavalli, Andrea Falconieri, Giovanni Battista Fontana, Andrea Gabrieli, Biagio Marini, Tarquinio Merula, Claudio Monteverdi, Salomone Rossi, Marco Crosetto, Giovanni Battista Vitali",Concierto
2022-03-06T11:00:00.000Z,Jóvenes intérpretes,,La Vaghezza,"Pier Francesco Cavalli, Andrea Falconieri, Giovanni Battista Fontana, Andrea Gabrieli, Biagio Marini, Tarquinio Merula, Claudio Monteverdi, Salomone Rossi, Marco Crosetto, Giovanni Battista Vitali",Concierto
2022-03-05T17:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1781-1783. El triunfo del contrapunto","Johann Sebastian Bach, Wolfgang Amadeus Mozart",Concierto
2022-03-05T11:00:00.000Z,Conciertos del Sábado,El clave barroco italiano,"Roma, la Ciudad Eterna","Girolamo Frescobaldi, Johann Jacob Froberger",Concierto
2022-03-04T17:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1781-1783. El triunfo del contrapunto","Johann Sebastian Bach, Wolfgang Amadeus Mozart",Concierto
2022-03-02T17:30:00.000Z,Ciclos de Miércoles,La obra maestra desconocida,,"Johannes Brahms, Benjamin Britten, Wolfgang Amadeus Mozart, Joaquín Rodrigo, Erik Satie, William Walton, Poldowski",Concierto
2022-03-01T11:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [12:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-03-01T09:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [10:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-02-27T10:30:00.000Z,Viernes Temáticos,El origen medieval de la música europea (siglos IX-XV),Buda entre cristianos (siglos XI-XVI)," ",Concierto
2022-02-26T10:30:00.000Z,Viernes Temáticos,El origen medieval de la música europea (siglos IX-XV),"Buda entre cristianos (siglos XI-XVI) "," ",Concierto
2022-02-23T17:30:00.000Z,Ciclos de Miércoles,La obra maestra desconocida,,"Lili Boulanger, Claude Debussy, Johann Michael Haydn, Fanny Mendelssohn-Hensel, Hubert Parry, Johann Ludwig Bach, Dmitri Stepánovich Bortniansky",Concierto
2022-02-20T10:30:00.000Z,Viernes Temáticos,El origen medieval de la música europea (siglos IX-XV),El Ars Subtilior y la música del Gran Cisma (siglo XIV),"Anónimo, Johannes Ciconia, Jacopo da Bologna, Franciscus Andrieu, Johannes Carmen, Michal Gondko, Jaquemart le Cuvelier, Nicolaus Frangens de Leodio, Nicolaus Zacharie, Filipotto da Caserta, Matteo da Perugia, Jaquemin de Senleches",Concierto
2022-02-19T10:30:00.000Z,Viernes Temáticos,El origen medieval de la música europea (siglos IX-XV),El Ars Subtilior y la música del Gran Cisma (siglo XIV),"Anónimo, Johannes Ciconia, Jacopo da Bologna, Franciscus Andrieu, Johannes Carmen, Michal Gondko, Jaquemart le Cuvelier, Nicolaus Frangens de Leodio, Nicolaus Zacharie, Filipotto da Caserta, Matteo da Perugia, Jaquemin de Senleches",Concierto
2022-02-16T17:30:00.000Z,Aula de (Re)estrenos,,Aula de (Re)estrenos (116). Hijos de la Generación del 51,"Sergio Blardony, César Camarero, Fabián Panisello, Mercedes Zavala, Voro García, Eneko Vadillo",Concierto
2022-02-15T11:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [12:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-02-15T09:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [10:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-02-14T11:00:00.000Z,Jóvenes intérpretes,,Jesús Noguera Guillén,"Johann Sebastian Bach, Jean-Philippe Rameau",Concierto
2022-02-13T11:00:00.000Z,Jóvenes intérpretes,,Jesús Noguera Guillén,"Johann Sebastian Bach, Jean-Philippe Rameau",Concierto
2022-02-12T17:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1785. Diálogos con Haydn","Joseph Haydn, Wolfgang Amadeus Mozart",Concierto
2022-02-12T11:00:00.000Z,Conciertos del Sábado,Clásicos de la canción latinoamericana,Clássicos da Bossa Nova,"Antônio Carlos Jobim, Vinicius de Moraes, Baden Powell, Caetano Veloso, Gilberto Gil, Dorival Caymmi, Marcelo Diniz, Chico Buarque, Fred Martins, Carlos Eduardo Lyra Barbosa, Newton Mendoça, Dolores Duran",Concierto
2022-02-11T17:00:00.000Z,Viernes Temáticos,Mozart a través de sus cartas,"Viena, 1785. Diálogos con Haydn","Joseph Haydn, Wolfgang Amadeus Mozart",Concierto
2022-02-09T17:30:00.000Z,Ciclos de Miércoles,Reinterpretar los clásicos,Actualizar los géneros,"Johann Sebastian Bach, Sofia Gubaidulina, György Kurtág, Joan Magrané, Jesús Rueda, Robert Schumann",Concierto
2022-02-07T11:00:00.000Z,Jóvenes intérpretes,,Fátima Alcázar Rodríguez,"César Franck, Jacques Ibert, Marin Marais, Wolfgang Amadeus Mozart, David Soley",Concierto
2022-02-06T11:00:00.000Z,Jóvenes intérpretes,,Fátima Alcázar Rodríguez,"César Franck, Jacques Ibert, Marin Marais, Wolfgang Amadeus Mozart, David Soley",Concierto
2022-02-05T11:00:00.000Z,Conciertos del Sábado,Clásicos de la canción latinoamericana,La Vieja y la Nueva Trova cubana,"Ernesto Lecuona, Miguel  Matamoros, Pepe Sánchez, Silvio Rodríguez, Sindo Garay, Manuel Corona, Nilo Menéndez, Adolfo Utrera, Eliseo Grenet, María Teresa Vera, Bienvenido Julián Gutiérrez, Pablo Milanés",Concierto
2022-02-02T17:30:00.000Z,Ciclos de Miércoles,Reinterpretar los clásicos,Románticos modernos,"Frédéric Chopin, John Dowland, Franz Schubert, Karol Szymanowski, Thomas Adès, Jörg Widmann",Concierto
2022-02-01T11:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [12:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-02-01T09:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [10:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-01-31T11:00:00.000Z,Jóvenes intérpretes,,Miguel Bonal,"Carl Friedrich Abel, Johann Sebastian Bach, Tobias Hume, Marin Marais, Georg Philipp Telemann",Concierto
2022-01-30T11:00:00.000Z,Jóvenes intérpretes,,Miguel Bonal,"Carl Friedrich Abel, Johann Sebastian Bach, Tobias Hume, Marin Marais, Georg Philipp Telemann",Concierto
2022-01-29T11:00:00.000Z,Conciertos del Sábado,Clásicos de la canción latinoamericana,Cantos del Caribe,"Eduardo Fabini Bianchi, Carlos Guastavino, Ernesto Lecuona, Melesio Morales, Jaime León Ferro",Concierto
2022-01-26T17:30:00.000Z,Ciclos de Miércoles,Reinterpretar los clásicos,Des Prez hispano,"Anónimo, Gabriel Erkoreka, Joan Magrané, Josquin des Prez, José María Sánchez-Verdú, Jesús Torres",Concierto
2022-01-24T11:00:00.000Z,Jóvenes intérpretes,,"Pueblito, mi pueblo. Homenaje a Carlos Guastavino",Carlos Guastavino,Concierto
2022-01-23T11:00:00.000Z,Jóvenes intérpretes,,"Pueblito, mi pueblo. Homenaje a Carlos Guastavino",Carlos Guastavino,Concierto
2022-01-22T11:00:00.000Z,Conciertos del Sábado,Clásicos de la canción latinoamericana,Mercedes Sosa canta jazz,"Violeta Parra, Astor Piazzolla, Ariel Ramírez, Atahualpa Yupanqui, Antonio Tarragó Ros, Silvio Rodríguez, María Elena Walsh, Félix Luna, León Gieco",Concierto
2022-01-19T17:30:00.000Z,Ciclos de Miércoles,Reinterpretar los clásicos,Polifonías,"Benjamin Britten, William Byrd, Orlando Gibbons, Edvard Grieg, Giovanni Pierluigi Da Palestrina, Arvo Pärt, Sergei Rachmaninoff, Igor Stravinsky, Thomas Tallis, Thomas Weelkes, Maurice Duruflé, Philip Stopford, Alec Roth, Ola Gjeilo, Rosana Panufnik",Concierto
2022-01-18T11:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [12:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-01-18T09:30:00.000Z,Conciertos didácticos,Curso 2021-2022,Música y pintura: conectar los sentidos [10:30],"Isaac Albéniz, George Crumb, Claude Debussy, Enrique Granados, Nikolai Kapustin, György Ligeti, Modest Mussorgsky, Steve Reich, Osvaldo Golijov",Concierto
2022-01-17T11:00:00.000Z,Jóvenes intérpretes,,Raúl Canosa,"Ernesto Halffter, Franz Liszt, Xavier Montsalvatge, Maurice Ravel, Joaquín Turina, Miguel Vallés, Carlos Danés",Concierto
2022-01-16T11:00:00.000Z,Jóvenes intérpretes,,Raúl Canosa,"Ernesto Halffter, Franz Liszt, Xavier Montsalvatge, Maurice Ravel, Joaquín Turina, Miguel Vallés, Carlos Danés",Concierto
2022-01-15T11:00:00.000Z,Conciertos del Sábado,Clásicos de la canción latinoamericana,De Argentina a Brasil,"Camargo Guarnieri, Oscar Lorenzo Fernández, Alberto Ginastera, Radamés Gnattali, Antônio Carlos Jobim, Heitor Villa-Lobos, Carlos López Buchardo",Concierto
2022-01-12T17:30:00.000Z,Aula de (Re)estrenos,,Aula de (Re) estrenos (115). Concierto sin programa: la escucha imprevista,"Alicia Díaz de la Fuente, Gustavo Díaz-Jerez, Alejandro Moreno, Jesús Torres, Roberto Sierra, Josep-Maria  Balanyà, Elena Firsova, Pietro Dossena",Concierto
