genre	maingenre	sp_id	artist_name	track_name	ISRC	pop
Gente Classical	Featured	086sjLPEqdKBgTxbTeCLCv	Claude Debussy	Rêverie	FRZ140622050	66
Gente Classical	Featured	5bhbv1xIbk0SbfQ2MEXe8F	Luke Howard	Dappled Light	GBBBC2000128	62
Gente Classical	Featured	7hyq9VKysg8g1L5R0y41dt	Erik Satie	Satie / Orch. Ducros: Gymnopédie No. 1	GBAYC2002212	8
Gente Classical	Featured	1CSaCKPIp2yCIDL3t7Fyau	Samuel Barber	Barber: Adagio for Strings, Op. 11	GBAYC0902894	62
Gente Classical	Featured	6niy47JlyU2BbXRyvahTNm	Robert Schumann	Kinderszenen opus 15: Kinderszenen opus 15: VII. Träumerei	FRU621115825	41
Gente Classical	Featured	518hKWxnCK1L1fsYRl0OB5	Gabriel Fauré	Après un rêve, Op.7, No.1 (Arr. Cello & Piano)	GBF071700030	63
Gente Classical	Featured	0Kubohno5e03J30wNFg4B2	Georges Bizet	Chants du Rhin, WD 52: Les rêves	FRU622045203	50
Gente Classical	Featured	11vx4E3yHUOmVcnKYszD0J	Ludovico Einaudi	Due tramonti	ITC490700065	0
Gente Classical	Featured	3XFzPxjP3KCHVG09I9xVEs	Claude Debussy	Danses pour Harpe Chromatique: Danse profane	GBLLH1021605	41
Gente Classical	Featured	6uILUw1lRfF6k3jLzEvSE0	Maurice Ravel	Piano Concerto in G Major, M. 83: II. Adagio assai	DEN961500862	39
Gente Classical	Featured	1Oo7XEqkrwifJn17aA0ocF	Johannes Brahms	Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major	DEE861700261	68
Gente Classical	Featured	5mRrklQD0rvuN6sV10HfPn	Johann Sebastian Bach	Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude	USQX91801089	63
Gente Classical	Featured	1AU1sr96tyVOwBy3D0Jy7H	G. I. Gurdjieff	Woman´s Prayer	DEB330388815	0
Gente Classical	Featured	0eiT0cfG4TT3u6Zw68A1Kw	Franz Liszt	En rêve, nocturne, S. 207	FRZ140341110	44
Gente Classical	Featured	6Z7RKpOG1T7XjcX6R8feo7	Ludwig van Beethoven	"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile"	GBAYC9701014	0
Gente Classical	Featured	7L5zrjSg42n4hPdbXIkHUG	Ralph Vaughan Williams	Five Variants of ‘Dives and Lazarus’	GBXSY1400052	40
Gente Classical	Featured	62wOFoV1t2yIGuQ0pufHmb	Johann Sebastian Bach	Goldberg Variations: Goldberg Variations: Aria	USHM11463301	36
Gente Classical	Featured	0cqcRqZgkNHanWQ8slYA0v	Gustav Mahler	Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam	DEA809802804	61
Gente Classical	Featured	0c8tW0sivKdcTw5QHtJZVc	Antonín Dvořák	Dvořák: 7 Gipsy Melodies, Op. 55, B. 104: No. 4, Als die alte Mutter (Arr. for Trumpet and Orchestra)	GBAYC1103163	18
Gente Classical	Featured	0Tx61KMDoqr3uNMhNcXXhB	Georges Bizet	L'Arlésienne Suite No. 2: Menuet	GBF078611343	51
Gente Classical	Featured	1cmigB9I6IRpFqjIbzvSQB	Claude Debussy	Suite bergamasque, L. 75: III. Clair de lune	DEN961800253	70
Gente Classical	Featured	4TewheY5HBdF1Qv1DVZwcJ	Georgs Pelēcis	Concertino bianco: 1. Con intenerimento	AUAB01750379	1
Gente Classical	Featured	7gycwUycYbjSidIazG5PfL	Johann Sebastian Bach	Ich ruf zu dir, Herr Jesu Christ, No. 5, BWV 639	USSM19908801	39
